Rank,Feature,Importance
1,pm2_5,20.963075992111165
2,pm2_5_roll3,0.026327423683478724
3,pm10,0.0073826279589672495
4,sulphur_dioxide,0.002402772505757697
5,pm2_5_lag1,0.001991882279052094
6,nitrogen_dioxide,0.0013558808763106244
7,pm2_5_lag2,0.0013397258197617268
8,ozone,0.0005417562624632131
9,day,0.000502082609091282
10,carbon_monoxide,0.00029836478973491247
11,hour,9.715404922259181e-05
12,month,0.0
13,weekday,0.0
